연번,호선,역명,장비,호기,승강기번호,운행구간(공사기준),설치위치,운행구간(자체조사)
780,5,을지로4가,E/S,8,1800-467,B1-B2,내부,대합(B2)-대합(B1)
781,5,을지로4가,E/S,9,1800-468,B2-B3,내부,대합(B3)-환승(B2)
782,5,을지로4가,E/S,10,1809-477,F1-BM1,외부,BM1-지상(#4 출구)
783,5,을지로4가,E/S,11,1809-478,F1-BM1,외부,BM1-지상(#4 출구)
784,5,동대문역사문화공원,E/S,1,1808-962,B2-B4,내부,대합(B4)-대합(B2)
785,5,동대문역사문화공원,E/S,2,1808-963,B2-B4,내부,대합(B4)-대합(B2)
786,5,동대문역사문화공원,E/S,3,1808-964,B2-B4,내부,BM4-대합(B2)
787,5,동대문역사문화공원,E/S,4,1808-965,B2-B4,내부,BM4-대합(B2)
788,5,동대문역사문화공원,E/S,5,1808-966,B2-B4,내부,BM4-대합(B2)
789,5,신금호,E/S,1,1808-967,B5-B8,내부,중앙/승강(B8)-대합(B5)
790,5,신금호,E/S,2,1808-968,B5-B8,내부,중앙/승강(B8)-대합(B5)
791,5,신금호,E/S,3,1808-969,B2-B5,내부,대합(B5)-대합(B2)
792,5,신금호,E/S,4,1808-970,B2-B5,내부,대합(B5)-대합(B2)
793,5,신금호,E/S,5,1809-945,B1-B2,내부,대합(B2)-대합(B1)
794,5,신금호,E/S,6,1809-946,B1-B2,내부,대합(B2)-대합(B1)
795,5,신금호,E/S,7,1812-438,F1-B1,외부,대합(B1)-지상(#1 출구)
796,5,신금호,E/S,8,1812-439,F1-B1,외부,대합(B1)-지상(#1 출구)
797,5,신금호,E/S,9,1812-440,F1-B1,외부,대합(B1)-지상(#2 출구)
798,5,신금호,E/S,10,1812-441,F1-B1,외부,대합(B1)-지상(#2 출구)
799,5,신금호,E/S,11,1812-507,B1-F1,외부,대합(B1)-지상(#7 출구)
800,5,신금호,E/S,12,1812-508,F1-B1,외부,대합(B1)-지상(#7 출구)
801,5,행당,E/S,1,1808-971,B1-B3,내부,대합(B3)-대합(B1)
802,5,행당,E/S,2,1808-972,B1-B3,내부,대합(B3)-대합(B1)
803,5,행당,E/S,3,1809-471,F1-B1,외부,대합(B1)-지상(#1 출구)
804,5,행당,E/S,4,1809-472,F1-B1,외부,대합(B1)-지상(#1 출구)
805,5,행당,E/S,5,1808-973,B3-B4,내부,BM4-대합(B3)
806,5,행당,E/S,6,1808-974,B3-B4,내부,BM4-대합(B3)
807,5,행당,E/S,7,1809-473,F1-B1,외부,대합(B1)-지상(#4 출구)
808,5,행당,E/S,8,1809-474,F1-B1,외부,대합(B1)-지상(#4 출구)
809,5,왕십리,E/S,1,1800-560,B2-B4,내부,대합(B4)-대합(B2)
810,5,왕십리,E/S,2,1800561,B2-B4,내부,대합(B4)-대합(B2)
811,5,왕십리,E/S,3,1800-562,B2-B4,내부,대합(B4)-대합(B2)
812,5,왕십리,E/S,4,1800-563,B2-B4,내부,대합(B4)-대합(B2)
813,5,왕십리,E/S,5,1800-564,B2-B4,내부,대합(B4)-환승(B2)
814,5,왕십리,E/S,6,1800-565,B2-B4,내부,대합(B4)-환승(B2)
815,5,왕십리,E/S,7,1800-566,B2-B4,내부,대합(B4)-환승(B2)
816,5,왕십리,E/S,8,1800-567,B2-B4,내부,대합(B4)-환승(B2)
817,5,마장,E/S,1,1800-689,F1-B1,외부,BM1-지상(#4 출구)
818,5,마장,E/S,2,1800-690,F1-B1,외부,BM1-지상(#4 출구)
819,5,마장,E/S,3,1800-878,B1-B2,내부,BM2-대합(B1)
820,5,마장,E/S,4,1800-877,B1-B2,내부,BM2-대합(B1)
821,5,답십리,E/S,1,1800-469,F1-B1,외부,대합(B1)-지상(#1 출구)
822,5,답십리,E/S,2,1800-476,F1-B1,외부,대합(B1)-지상(#1 출구)
823,5,답십리,E/S,3,1809-476,F1-BM1,외부,BM1-지상(#5 출구)
824,5,답십리,E/S,4,1809-475,F1-BM1,외부,BM1-지상(#5 출구)
825,5,장한평,E/S,1,1803-265,B1-B2,내부,대합(B2)-대합(B1)
826,5,장한평,E/S,2,1803-266,B1-B2,내부,대합(B2)-대합(B1)
827,5,장한평,E/S,3,1809-107,F1-B1,외부,BM1-지상(#3 출구)
